Id,X,Y,diameter,Species
p62,699486.5245,7019778.939,26,Pine
s97,699483.7286,7019774.159,28,Birch
p61,699496.4399,7019781.106,24,Pine
p60,699497.6897,7019785.744,24,Pine
p67,699464.5551,7019796.132,23,Pine
s96,699474.8607,7019783.295,19,Birch
s95,699477.8478,7019786.431,31,Birch
s94,699474.3504,7019795.8,26,Birch
p58,699489.3575,7019797.854,24,Pine
p65,699470.6654,7019776.856,22,Pine
s99,699490.4193,7019804.81,25,Birch
s47,699497.4568,7019829.07,27,Birch
s49,699493.391,7019837.462,31,Birch
s48,699490.8448,7019839.536,29,Birch
s50,699495.9608,7019853.683,28,Aspen
s79,699494.2958,7019859.906,27,Spruce
s78,699494.5088,7019863.828,29,Spruce
s77,699490.2139,7019866.544,34,Spruce
s52,699486.0839,7019855.471,30,Birch
s53,699485.4965,7019861.703,44,Aspen
s51,699487.4891,7019850.583,59,Aspen
s106,699491.0943,7019848.34,27,Birch
p54,699479.942,7019829.079,29,Pine
p53,699476.498,7019828.384,32,Pine
s100,699476.3932,7019813.584,28,Birch
s101,699465.4914,7019810.194,25,Birch
p79,699463.1238,7019802.99,27,Pine
p55,699466.8326,7019814.469,27,Pine
s93,699455.5444,7019807.627,32,Birch
s92,699445.2529,7019815.941,20,Birch
p68,699444.3077,7019819.545,22,Pine
s91,699451.5052,7019835.476,31,Birch
s102,699470.4438,7019835.205,24,Birch
s63,699468.1096,7019857.519,25,Spruce
s60,699471.6245,7019859.245,23,Spruce
s65,699474.5164,7019855.978,28,Spruce
s64,699470.7003,7019853.843,26,Spruce
p51,699476.3313,7019863.269,32,Pine
s66,699473.5711,7019867.199,31,Spruce
s54,699486.5623,7019873.112,38,Aspen
s55,699485.3033,7019877.113,32,Birch
s107,699461.8143,7019873.911,31,Birch
s108,699448.8144,7019877.281,27,Birch
s59,699442.7633,7019872.671,15,Spruce
s90,699436.8693,7019866.863,30,Birch
s89,699437.6776,7019872.454,31,Birch
p80,699449.1595,7019881.668,32,Pine
s58,699456.5089,7019895.172,41,Aspen
s57,699462.2083,7019897.473,27,Aspen
s109,699475.9496,7019889.7,26,Birch
s59,699452.7595,7019898.231,35,Aspen
s72,699457.2566,7019899.828,21,Spruce
s60,699446.8978,7019895.731,49,Aspen
s62,699431.9262,7019894.94,28,Birch
s61,699434.1733,7019889.446,26,Birch
p49,699437.4474,7019883.898,33,Pine
p48,699436.2809,7019879.926,33,Pine
s57,699431.9282,7019876.883,13,Spruce
s58,699428.9059,7019877.333,14,Spruce
s63,699431.0315,7019883.658,28,Birch
p77,699428.0112,7019886.009,30,Pine
p76,699423.2905,7019885.314,29,Pine
s68,699474.7264,7019876.161,23,Spruce
s67,699464.5736,7019868.109,32,Spruce
p50,699452.6677,7019863.88,31,Pine
s61,699444.5244,7019864.142,14,Spruce
p52,699461.7499,7019830.551,30,Pine
p59,699487.2466,7019801.436,30,Pine
s80,699488.6409,7019824.489,29,Spruce
s62,699449.0291,7019854.538,24,Spruce
s66,699421.4303,7019874.492,24,Birch
s65,699423.1118,7019878.419,19,Birch
s64,699420.669,7019881.882,24,Birch
s67,699406.0274,7019883.576,30,Birch
s68,699402.7546,7019885.82,31,Birch
s69,699401.6608,7019893.054,28,Birch
s110,699406.8105,7019898.74,27,Birch
s70,699403.5888,7019896.467,42,Birch
p75,699422.7394,7019892.023,28,Pine
s56,699466.0757,7019901.161,35,Aspen
s71,699455.5061,7019901.753,24,Spruce
s69,699454.7009,7019903.854,29,Spruce
s70,699454.5959,7019907.11,23,Spruce
s55,699451.4442,7019909.292,29,Spruce
s111,699450.7712,7019914.999,27,Birch
s53,699442.2167,7019909.035,30,Spruce
s122,699445.4663,7019904.943,33,Pine
p46,699441.2231,7019903.198,32,Pine
p47,699435.9907,7019901.819,32,Pine
s71,699414.8116,7019904.529,22,Birch
s88,699405.5831,7019908.479,27,Birch
s115,699412.3016,7019915.499,32,Pine
s76,699428.5574,7019920.5,33,Spruce
s72,699425.9829,7019926.51,27,Aspen
s116,699405.0907,7019914.431,36,Pine
s114,699410.8178,7019918.076,33,Pine
s54,699444.2101,7019915.915,22,Spruce
s52,699439.4516,7019914.758,21,Spruce
s51,699429.9026,7019911.993,24,Spruce
s56,699418.4887,7019900.611,31,Spruce
p57,699503.3001,7019793.326,27,Pine
p56,699505.161,7019796.798,27,Pine
s37,699510.5736,7019807.009,50,Aspen
s38,699513.0054,7019813.49,29,Aspen
s103,699509.1317,7019815.661,27,Birch
s104,699500.2907,7019821.91,27,Birch
s46,699504.457,7019834.654,26,Birch
s42,699511.7363,7019833.768,33,Birch
p78,699506.2467,7019838.675,28,Pine
